activation,tol,beta_1,beta_2,epsilon,oversampling_method,roc_auc
relu,0.016496541669711085,0.83686881851584,0.6243229026863576,0.0643763560005888,none,0.9024631800084547
tanh,0.07188842519043259,0.25239852068545804,0.06331496979783176,0.0827951596286516,ada,0.8451398007840879
tanh,0.058689947274921564,0.30429335879779357,0.050713741188076936,0.009688964315612373,ada,0.8975646951036431
logistic,0.08486644361963162,0.5649601635734669,0.6937460784681164,0.07780812750903812,ada,0.8065784961475219
tanh,0.09751733893305348,0.2303872406234658,0.5838965982413987,0.041593962401649996,none,0.9018987925446763
relu,0.07617323657913525,0.37209594113587824,0.3619486541064976,0.08416547351629484,none,0.8966021423214053
identity,0.09407366588137311,0.9690493107790962,0.36303718913486577,0.05258379881016876,none,0.8995937086236486
relu,0.02543292622295672,0.28217254656753643,0.1905923559738276,0.061132040647492995,none,0.9039180246932323
logistic,0.05389789837591881,0.7068410287212618,0.8209353890906996,0.04421675720063663,none,0.8723103742187407
identity,0.08422300104632201,0.023888470817542334,0.8105425380090512,0.0033429842050095595,none,0.9024214447370715
relu,0.042552465295848094,0.7699808789930831,0.9621417688992464,1e-10,ada,0.9188695307974065
tanh,0.1,0.0,0.0,1e-10,ada,0.9062092808527792
logistic,0.00985276879430457,0.6977682491057123,0.8736469268920373,1.9726330426164204e-05,ada,0.8953972245424131
logistic,0.06211231852079711,0.1532077640203569,0.19027196936797847,1e-10,none,0.9035962169931113
relu,0.1,0.9999,0.9999,1e-10,none,0.917532171740627
relu,0.0001,0.1996847769888372,0.7390073382030646,0.02284897436625481,none,0.9271317794773674
relu,0.1,0.9999,0.9999,0.02590943341910726,ada,0.8402881537335666
tanh,0.0001,0.9999,0.0,1e-10,none,0.8173919863661873
logistic,0.0001,0.4267463997498231,0.0,0.01601635407974281,none,0.9009823214545589
tanh,0.08913276065361019,0.9993114596691666,0.7224796793602797,0.09146605608333426,none,0.8910745586532721
tanh,0.08764702246942277,0.07113977433756913,0.9999,0.0668677277668728,none,0.8881780675298888
relu,0.0001,0.0,0.0,1e-10,none,0.9270955880667762
tanh,0.0001,0.15566671762896758,0.9999,1e-10,ada,0.9289279909982223
tanh,0.008622871151241131,0.21316382756117866,0.6236621537514756,1e-10,ada,0.9118164912628144
relu,0.0001,0.0,0.9999,1e-10,ada,0.9295684023235907
relu,0.005892878650048654,0.02412971389677896,0.8753771688768578,0.1,none,0.9000135749846506
relu,0.0001,0.0,0.7982762796606485,1e-10,ada,0.9289600034055906
identity,0.0001,0.0,0.9999,0.059619039369720774,ada,0.8825618020632425
relu,0.1,0.0,0.0,1e-10,none,0.9260882818303323
relu,0.0001,0.29610416037005033,0.9999,1e-10,none,0.9278665477044928
relu,0.0001,0.030663984219471647,0.0,1e-10,none,0.9100212180146302
relu,0.0001,0.5954146726084351,0.8660174468673751,1e-10,ada,0.933098265450662
relu,0.0001,0.9999,0.9999,1e-10,ada,0.9275038236267017
relu,0.0001,0.00012311156366385894,0.9999,1e-10,ada,0.9322555933695185
relu,0.0001,0.30993297732485975,0.9999,1e-10,ada,0.9319013360653886
relu,0.0001,0.8500452746259589,0.9999,1e-10,ada,0.9321899556535405
relu,0.0001,0.05687258514855831,0.9999,1e-10,ada,0.930593651449367
relu,0.0001,0.18711018917457112,0.9999,1e-10,ada,0.9300837320970171
tanh,0.0001,0.030855148470857734,0.9999,1e-10,ada,0.9233786187470024
relu,0.0001,0.2951603306487375,0.9999,1e-10,ada,0.93028661421206
tanh,0.0001,0.8866921956456646,0.9999,1.0000001110223023e-10,ada,0.9318768960981991
tanh,0.0001,0.9999,0.9999,1e-10,ada,0.9245296002923471
identity,0.0001,0.9999,0.9999,1e-10,ada,0.8828816944092496
relu,0.0001,0.9134738876810988,0.0,0.1,ada,0.917907417380963
logistic,0.049497968360230196,0.285741592739779,0.49973194124452847,0.07091366665840661,ada,0.805971388286101
relu,0.06285582725087735,0.0,0.0,1e-10,none,0.9265416985457074
logistic,0.024931787241026116,0.23835818181291782,0.9988835719491237,0.062215712669068585,ada,0.8097573475838056
identity,0.0001,0.10805971169590194,0.0,0.1,none,0.9012497376757782
relu,0.0001,0.2370082136662886,0.9999,0.013195810279745106,none,0.9276822102917807
relu,0.0001,0.42269310422491996,0.9999,0.012820548227350292,none,0.9258833374881613
identity,0.0001,0.8420323167823088,0.0,0.1,ada,0.8815848797294222
relu,0.0001,0.45637100115181783,0.9999,0.012607506398842176,none,0.9273185564203336
identity,0.0001,0.23508587097764533,0.0,0.02463160521958973,none,0.9017561836687076
relu,0.0001,0.03760154915339851,0.9999,0.01303028772650066,none,0.9275257592962225
relu,0.060041253822460984,0.0,0.0,0.013245593298161284,none,0.9170043434985865
relu,0.0001,0.9650399101730573,0.9999,1e-10,ada,0.9337280814584323
relu,0.0001,0.36749550495076416,0.9999,1e-10,ada,0.9316330961581203
relu,0.0001,0.5512321788510759,0.9999,1e-10,ada,0.9328025661165391
tanh,0.035185055582388595,0.2986592493566309,0.6850367320899565,0.07172452477466389,ada,0.8483532713601029
relu,0.0001,0.694458518028561,0.9999,1e-10,ada,0.9307152202129779
relu,0.0001,0.6732914682888953,0.9999,1e-10,ada,0.9309694620892559
relu,0.0001,0.6451557870336069,0.9999,1e-10,ada,0.9318542689964855
relu,0.0001,0.9836126240967187,0.9999,1e-10,ada,0.933023823114381
relu,0.0001,0.9899181240954202,0.9999,1e-10,ada,0.9327305682560176
logistic,0.04577552951391579,0.37580226197446515,0.7589280346682357,0.019065101988103766,ada,0.8308208064964265
identity,0.1,0.7978260285734755,0.0,1e-10,ada,0.663329260068367
logistic,0.1,0.0,0.0,1e-10,none,0.9033197458181726
identity,0.1,0.0,0.0,0.1,none,0.8979024312379127
identity,0.04459538221928184,0.46847605110769813,0.0,1e-10,none,0.5559741939718994
identity,0.09680195221800815,0.17964172929047517,0.9999,0.011019207762884934,none,0.9002513732499375
relu,0.1,0.015125497557427427,0.007834780464730937,1e-10,ada,0.913290157739613
relu,0.0001,0.35473672932580796,0.0,0.037568309894604385,none,0.9255004681182295
relu,0.015367727476517828,0.5868748310602345,0.9999,1e-10,ada,0.9188818062544316
identity,0.0001,0.18737105725171482,0.013832077226734624,0.03531655068886721,none,0.901966816313974
identity,0.1,0.614873533425998,0.9999,0.1,none,0.8844632785141376
relu,0.005803066611739827,0.9999,0.9999,0.00516253261299683,ada,0.899263867371538
relu,0.024881322318551058,0.9999,0.9999,0.015807945393220335,ada,0.8462173519219007
identity,0.0001,0.21127647131662586,0.0,0.07199782590439283,none,0.9018228475255651
relu,0.05092193003477266,0.6091113231328343,0.9221917657488232,0.02099814849898803,ada,0.8910766805411631
tanh,0.04750574496552554,0.7629287048115185,0.09743230010276759,0.08161649235157173,none,0.8992803067253615
relu,0.09324040505942868,0.12783475559595123,0.0,0.04805273744153546,none,0.9056336670031154
relu,0.06636283719632373,0.9999,0.9999,0.07374187603951203,none,0.8622617774389708
relu,0.0776586150713152,0.4155428101880503,0.0,0.021176159698890223,ada,0.8867945874503604
tanh,0.029185576847805067,0.0,0.9999,0.041361780773309265,none,0.8942311270129526
tanh,0.06503828078884105,0.9835822999134618,0.0,0.026257904416329095,none,0.9039840711369075
logistic,0.0001,0.5589671431681726,0.9999,1e-10,ada,0.9171629350952154
logistic,0.0808206724321611,0.5237460541463916,0.9999,0.00356713904035321,none,0.8918245723754437
relu,0.03995634682193667,0.07003550346380945,0.0,0.02406852149061989,none,0.9123954351790831
tanh,0.0001,0.9999,0.9999,0.09990458694325384,ada,0.8548526689153814
logistic,0.05979702045466868,0.9999,0.9999,0.1,none,0.6904285041164391
relu,0.0001,0.4661171326093605,0.9999,1e-10,ada,0.9299669978612014
relu,0.0001,0.41146465845050373,0.6959704528661759,0.020443312847684043,ada,0.9228654718398409
relu,0.0001,0.17466327080542582,0.9999,1e-10,ada,0.9300812681759641
relu,0.084609736879789,0.0,0.0,1e-10,none,0.926008793253974
relu,0.0001,0.8872455869058004,0.7993197275032184,0.013002605025819272,none,0.9273484357936814
tanh,0.0001,0.3976954487071893,0.0,0.1,none,0.9181037407618508
relu,0.0001,0.5280115285024548,0.6154545723243792,1e-10,none,0.927469181148301
relu,0.0001,0.9999,0.0,0.1,none,0.906046560975141
relu,0.0001,0.7499506843073827,0.0,0.037478595683078784,none,0.9261838947449257
relu,0.1,0.03207935994167879,0.49294782062744513,0.019164909806257912,none,0.9157959403333694
